"pid","hid","age","sex","n.samples","wave","reporting.day","typical.day","n.contact.total","n.locations","n.loc.group","n.contact.0-4","n.contact.5-19","n.contact.20-39","n.contact.40-64","n.contact.65+","n.contact.touch","n.contact.0-4.touch","n.contact.5-19.touch","n.contact.20-39.touch","n.contact.40-64.touch","n.contact.65+.touch","n.contact.home","n.contact.school","n.contact.work","n.contact.other"
1,1,31,"F",3,"R1","Tuesday","yes",4,2,"1",0,0,2,2,0,3,0,0,1,2,0,1,0,3,0
2,2,49,"F",3,"R1","Tuesday","yes",6,4,"3",0,0,3,3,0,2,0,0,2,0,0,1,0,3,2
3,3,63,"F",1,"R1","Tuesday","no",1,1,"0",0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
4,4,57,"M",3,"R1","Tuesday","yes",83,2,"1",0,80,3,0,0,83,0,80,3,0,0,1,0,82,0
5,5,51,"M",3,"R1","Wednesday","yes",5,2,"1",0,0,1,4,0,0,0,0,0,0,0,0,0,3,2
6,6,22,"F",3,"R1","Wednesday","no",7,3,"2",0,0,7,0,0,4,0,0,4,0,0,0,4,0,3
7,7,22,"F",2,"R1","Wednesday","yes",20,1,"0",0,0,18,12,0,10,0,0,8,2,0,0,0,20,0
8,8,25,"M",3,"R1","Thursday","yes",23,3,"2",0,0,20,3,0,0,0,0,0,0,0,2,0,20,1
9,9,71,"F",2,"R1","Thursday","yes",2,2,"1",0,0,0,0,2,0,0,0,0,0,0,1,0,0,1
10,10,51,"M",1,"R1","Thursday","yes",3,1,"0",0,0,3,0,0,0,0,0,0,0,0,0,0,3,0
11,11,78,"M",4,"R1","Thursday","yes",2,2,"1",0,0,0,1,1,0,0,0,0,0,0,1,0,0,1
12,12,56,"F",3,"R1","Thursday","no",7,5,"4",0,0,2,5,0,1,0,0,0,1,0,1,0,0,6
13,13,22,"M",3,"R1","Friday","yes",18,2,"1",0,0,14,4,0,4,0,0,0,4,0,3,0,15,0
14,14,58,"F",3,"R1","Friday","yes",3,2,"1",0,0,0,3,0,0,0,0,0,0,0,1,0,0,2
15,15,29,"F",2,"R1","Friday","no",6,2,"1",0,0,4,1,1,0,0,0,0,0,0,2,0,4,0
16,16,61,"M",3,"R1","Friday","yes",4,2,"1",0,0,0,1,3,0,0,0,0,0,0,1,0,0,3
17,17,61,"M",3,"R1","Saturday","yes",4,2,"1",0,0,1,3,0,3,0,0,0,3,0,2,0,0,2
18,18,49,"M",3,"R1","Saturday","no",7,3,"2",0,2,1,3,1,2,0,1,0,0,1,1,0,0,6
19,19,NA,"F",1,"R1","Sunday","no",30,1,"0",0,0,0,0,30,30,0,0,0,0,30,0,0,30,0
20,20,48,"M",2,"R1","Sunday","yes",4,4,"3",0,0,1,3,0,1,0,0,0,1,0,1,0,0,3
21,21,29,"F",3,"R1","Sunday","no",9,2,"1",1,2,3,3,0,4,1,2,0,1,0,4,0,0,9
22,22,38,"F",3,"R1","Sunday","yes",32,5,"4",0,2,29,1,0,3,0,2,0,1,0,3,0,0,29
23,23,49,"F",3,"R1","Monday","yes",8,2,"1",0,0,5,1,2,0,0,0,0,0,0,3,0,0,5
24,24,43,"F",2,"R1","Monday","yes",12,4,"3",1,2,0,9,0,4,1,2,0,1,0,3,0,8,2
25,25,46,"F",1,"R1","Monday","yes",3,1,"0",0,0,1,2,0,0,0,0,0,0,0,0,0,3,0
26,26,21,"F",3,"R1","Monday","no",3,3,"2",0,0,2,1,0,1,0,0,0,1,0,1,0,0,2
27,27,21,"M",4,"R1","Sunday","no",4,2,"1",0,1,1,2,0,3,0,0,1,2,0,3,0,0,1
28,28,30,"F",3,"R1","Sunday","yes",6,6,"5",0,1,1,4,0,2,0,0,1,1,0,2,0,0,6
29,29,49,"M",4,"R1","Monday","yes",6,2,"1",0,1,1,4,0,2,0,1,1,0,0,2,0,4,0
30,30,47,"F",4,"R1","Monday","yes",7,3,"2",0,0,2,5,0,0,0,0,0,0,0,0,0,3,5
31,31,54,"M",2,"R1","Tuesday","yes",4,2,"1",0,0,1,2,1,1,0,0,0,1,0,3,0,1,0
32,32,64,"F",4,"R1","Tuesday","yes",17,3,"2",0,0,0,0,17,1,0,0,0,0,1,0,0,0,17
33,33,59,"M",3,"R1","Tuesday","no",6,4,"3",0,0,1,5,0,6,0,0,1,5,0,0,0,0,6
34,34,65,"M",4,"R1","Wednesday","yes",2,2,"1",0,0,0,2,0,1,0,0,0,1,0,2,0,0,0
35,35,50,"M",4,"R1","Wednesday","yes",16,1,"0",0,0,12,16,0,12,0,0,4,8,0,0,0,16,0
36,36,57,"M",1,"R1","Thursday","yes",2,2,"1",0,0,0,2,0,1,0,0,0,1,0,1,0,0,1
37,37,37,"F",4,"R1","Thursday","yes",4,2,"1",0,2,0,2,0,4,0,2,0,2,0,3,0,0,1
38,38,28,"F",3,"R1","Thursday","yes",0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,39,39,"M",4,"R1","Friday","no",11,3,"2",1,0,9,5,0,6,1,0,5,0,0,3,0,0,11
40,40,54,"M",4,"R1","Friday","yes",19,3,"2",0,0,16,18,0,0,0,0,0,0,0,1,0,18,0
41,41,44,"F",4,"R1","Friday","no",18,3,"2",0,2,1,15,0,3,0,2,0,1,0,6,0,10,2
42,42,74,"M",2,"R1","Saturday","no",1,4,"3",0,0,0,0,1,1,0,0,0,0,1,1,0,0,1
43,43,56,"F",2,"R1","Saturday","yes",4,2,"1",0,0,2,2,0,0,0,0,0,0,0,3,0,0,1
44,44,58,"F",1,"R1","Sunday","yes",2,1,"0",0,0,1,0,1,0,0,0,0,0,0,2,0,0,0
45,45,70,"M",1,"R1","Sunday","yes",1,1,"0",0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
46,46,19,"M",3,"R1","Sunday","yes",4,1,"0",0,1,1,2,0,0,0,0,0,0,0,4,0,0,0
47,47,44,"F",1,"R1","Sunday","yes",63,2,"1",1,60,0,2,0,61,1,60,0,0,0,3,0,60,0
48,48,64,"M",3,"R1","Monday","yes",3,2,"1",0,0,0,2,1,1,0,0,0,0,1,1,0,2,0
49,49,57,"F",4,"R1","Monday","yes",18,2,"1",0,0,12,16,0,0,0,0,0,0,0,3,0,15,0
50,50,48,"F",4,"R1","Monday","yes",8,3,"2",0,2,0,6,0,2,0,2,0,0,0,3,0,5,2
51,51,55,"F",4,"R1","Monday","yes",2,1,"0",0,0,1,1,0,0,0,0,0,0,0,2,0,0,0
52,52,47,"F",3,"R1","Tuesday","no",10,3,"2",0,2,4,3,1,2,0,2,0,0,0,5,0,5,0
53,53,43,"M",4,"R1","Tuesday","yes",6,4,"3",0,1,3,2,0,0,0,0,0,0,0,2,0,4,0
54,54,28,"F",1,"R1","Tuesday","yes",12,3,"2",0,0,7,4,1,4,0,0,3,1,0,0,0,10,2
55,55,71,"F",4,"R1","Tuesday","yes",0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,56,74,"F",4,"R1","Tuesday","yes",2,2,"1",0,0,0,1,1,1,0,0,0,0,1,1,0,0,1
57,57,59,"M",3,"R1","Tuesday","yes",32,10,"6+",0,13,5,6,8,4,0,2,0,1,1,4,0,15,16
58,58,23,"M",4,"R1","Tuesday","yes",4,1,"0",0,0,2,2,0,0,0,0,0,0,0,4,0,0,0
59,59,41,"M",1,"R1","Tuesday","yes",20,3,"2",0,1,17,16,1,1,0,1,0,0,0,5,0,15,0
60,60,67,"M",1,"R1","Wednesday","yes",4,5,"4",0,1,0,1,2,1,0,1,0,0,0,2,0,0,3
61,61,26,"F",4,"R1","Wednesday","yes",10,5,"4",0,0,8,2,0,1,0,0,0,1,0,1,0,6,3
62,62,39,"F",1,"R1","Wednesday","yes",4,2,"1",0,1,0,3,0,1,0,1,0,0,0,1,0,3,0
63,63,61,"M",4,"R1","Wednesday","yes",11,2,"1",0,9,1,1,0,2,0,0,1,1,0,2,0,0,9
64,64,22,"F",2,"R1","Thursday","no",12,4,"3",0,0,9,3,0,0,0,0,0,0,0,2,0,2,8
65,65,18,"F",4,"R1","Thursday","yes",5,4,"3",0,0,2,3,0,2,0,0,0,2,0,3,0,0,2
66,66,51,"F",3,"R1","Thursday","yes",6,3,"2",0,0,1,4,1,2,0,0,1,0,1,1,0,0,5
67,67,77,"M",4,"R1","Thursday","yes",0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,68,20,"F",2,"R1","Thursday","yes",3,1,"0",0,1,0,2,0,3,0,1,0,2,0,3,0,0,0
69,69,56,"F",1,"R1","Friday","no",1,1,"0",0,0,0,1,0,1,0,0,0,1,0,1,0,0,0
70,70,21,"F",2,"R1","Friday","no",17,3,"2",0,4,9,2,2,11,0,4,3,2,2,2,2,10,3
71,71,58,"M",3,"R1","Friday","no",7,4,"3",0,1,5,1,0,4,0,0,3,1,0,1,0,0,7
72,72,50,"M",4,"R1","Friday","yes",12,5,"4",0,1,3,8,0,5,0,1,0,4,0,3,0,8,2
73,73,63,"F",2,"R1","Friday","yes",20,3,"2",0,0,0,19,16,19,0,0,0,9,10,1,0,0,19
74,74,52,"F",3,"R1","Saturday","no",15,2,"1",0,0,4,11,0,1,0,0,1,0,0,2,0,0,13
75,75,58,"F",3,"R1","Saturday","no",19,4,"3",12,12,15,12,12,17,3,3,6,2,3,5,0,0,14
76,76,59,"F",3,"R1","Saturday","yes",4,2,"1",0,0,3,1,0,1,0,0,0,1,0,1,0,0,3
77,77,77,"M",2,"R1","Saturday","no",3,1,"0",0,0,2,1,0,1,0,0,0,1,0,3,0,0,0
78,78,53,"F",3,"R1","Saturday","yes",3,2,"1",1,0,0,2,0,1,1,0,0,0,0,1,0,0,3
79,79,27,"F",3,"R1","Sunday","yes",8,3,"2",0,0,6,2,0,5,0,0,5,0,0,3,0,0,5
80,80,53,"F",4,"R1","Sunday","yes",4,4,"3",0,0,3,1,0,2,0,0,1,1,0,1,0,0,3
81,81,52,"F",4,"R1","Sunday","yes",3,3,"2",0,1,1,1,0,0,0,0,0,0,0,3,0,0,0
82,82,51,"F",4,"R1","Sunday","no",2,1,"0",0,0,0,0,2,2,0,0,0,0,2,2,0,0,0
83,83,63,"F",4,"R1","Sunday","yes",3,2,"1",0,0,0,1,2,0,0,0,0,0,0,1,0,0,2
84,84,36,"F",3,"R1","Sunday","yes",4,2,"1",0,0,2,1,1,0,0,0,0,0,0,4,0,0,0
85,85,17,"F",3,"R1","Sunday","yes",15,4,"3",0,7,5,3,0,11,0,4,4,3,0,2,0,0,13
86,85,44,"F",1,"R1","Sunday","no",28,4,"3",0,22,25,27,21,5,0,1,1,2,1,2,0,0,27
87,85,45,"M",3,"R1","Sunday","yes",32,3,"2",0,23,30,31,0,2,0,1,0,1,0,2,0,0,30
88,86,47,"F",3,"R1","Sunday","yes",62,6,"5",40,42,52,56,41,31,3,3,9,14,2,1,0,1,61
89,87,54,"F",2,"R1","Sunday","yes",31,2,"1",0,0,30,31,12,0,0,0,0,0,0,1,0,30,0
90,88,54,"F",3,"R1","Sunday","yes",3,2,"1",0,0,2,1,0,1,0,0,0,1,0,2,0,0,2
91,88,58,"M",4,"R1","Sunday","yes",203,3,"2",200,200,201,202,200,201,30,20,50,51,50,2,0,200,1
92,88,22,"F",3,"R1","Sunday","yes",4,2,"1",0,0,2,2,0,3,0,0,1,2,0,3,0,0,2
93,89,56,"M",3,"R1","Sunday","yes",7,2,"1",0,1,1,5,0,0,0,0,0,0,0,4,0,0,3
94,90,53,"F",4,"R1","Sunday","yes",2,2,"1",0,0,0,2,0,1,0,0,0,1,0,0,0,0,2
95,91,61,"F",1,"R1","Sunday","yes",2,1,"0",0,0,1,1,0,0,0,0,0,0,0,2,0,0,0
96,92,29,"M",4,"R1","Sunday","yes",2,2,"1",0,0,1,1,0,1,0,0,1,0,0,2,0,0,0
97,93,14,"F",2,"R1","Sunday","yes",9,3,"2",0,1,3,7,3,2,0,1,0,1,0,3,0,0,7
98,93,16,"M",2,"R1","Sunday","yes",3,1,"0",0,1,1,1,0,3,0,1,1,1,0,3,0,0,0
99,93,50,"F",4,"R1","Sunday","yes",3,2,"1",0,2,0,1,0,2,0,2,0,0,0,3,0,0,2
100,94,8,"M",1,"R1","Monday","yes",3,2,"1",0,1,0,2,0,3,0,1,0,2,0,3,0,0,0
101,94,10,"M",3,"R1","Monday","yes",28,2,"1",0,26,0,2,0,28,0,26,0,2,0,28,0,0,0
102,94,47,"F",2,"R1","Monday","yes",3,1,"0",0,2,0,1,0,3,0,2,0,1,0,3,0,0,0
103,94,48,"M",4,"R1","Monday","yes",27,4,"3",0,2,21,23,1,7,0,2,1,3,1,23,0,4,0
104,95,55,"F",4,"R1","Monday","no",5,6,"5",0,0,3,2,0,0,0,0,0,0,0,2,0,0,3
105,96,26,"M",3,"R1","Monday","no",22,2,"1",0,1,19,19,0,4,0,0,2,2,0,3,0,19,0
106,96,54,"M",3,"R1","Monday","yes",4,2,"1",0,0,1,3,0,0,0,0,0,0,0,2,0,2,0
107,96,55,"F",4,"R1","Monday","yes",13,2,"1",1,0,1,11,0,2,1,0,0,1,0,3,0,10,0
108,97,50,"F",2,"R1","Monday","no",27,2,"1",0,23,2,2,0,0,0,0,0,0,0,1,0,26,0
109,97,43,"M",4,"R1","Monday","yes",8,3,"2",0,0,2,6,0,0,0,0,0,0,0,0,0,5,3
110,98,71,"M",4,"R1","Monday","yes",2,2,"1",0,0,0,1,1,1,0,0,0,0,1,2,0,0,0
111,98,72,"F",4,"R1","Monday","yes",8,5,"4",0,0,1,6,1,1,0,0,0,1,0,2,0,0,6
112,99,21,"M",2,"R1","Monday","yes",5,3,"2",0,2,1,2,0,1,0,1,0,0,0,3,0,1,1
113,99,52,"F",3,"R1","Monday","yes",7,2,"1",0,1,1,4,1,3,0,1,1,1,0,3,0,4,0
114,99,53,"M",1,"R1","Monday","yes",33,2,"1",0,1,31,31,0,32,0,1,10,21,0,33,0,0,0
115,100,4,"M",1,"R1","Monday","yes",10,3,"2",1,1,4,4,0,9,1,1,4,3,0,4,6,0,1
116,100,7,"M",3,"R1","Monday","yes",33,6,"5",2,12,13,15,1,32,2,12,8,10,0,7,25,0,1
117,100,36,"F",4,"R1","Monday","yes",13,6,"5",2,1,5,9,1,11,2,1,1,6,1,5,0,0,10
118,100,45,"M",4,"R1","Monday","yes",1,1,"0",1,0,0,0,0,1,1,0,0,0,0,1,0,0,0
119,100,85,"M",1,"R1","Monday","yes",0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,101,51,"F",4,"R1","Monday","yes",8,6,"5",0,0,1,7,0,1,0,0,0,1,0,2,0,0,6
121,102,23,"F",4,"R1","Monday","no",2,1,"0",0,0,0,2,0,1,0,0,0,1,0,2,0,0,2
122,102,51,"F",4,"R1","Monday","yes",11,5,"4",0,0,6,5,0,3,0,0,1,2,0,2,0,0,9
123,103,17,"F",1,"R1","Monday","yes",14,4,"3",0,13,0,1,0,8,0,7,0,1,0,1,13,0,4
124,103,50,"F",3,"R1","Monday","yes",9,5,"4",0,1,2,6,0,2,0,1,1,0,0,2,0,0,7
125,104,55,"F",2,"R1","Monday","yes",5,3,"2",0,0,1,4,0,0,0,0,0,0,0,1,0,3,1
126,104,56,"M",4,"R1","Monday","yes",7,2,"1",0,0,6,1,0,1,0,0,0,1,0,1,0,6,0
127,105,58,"F",4,"R1","Monday","yes",8,3,"2",0,0,2,5,1,0,0,0,0,0,0,5,0,0,3
128,106,12,"M",1,"R1","Monday","no",15,3,"2",0,10,2,3,0,12,0,10,1,1,0,4,4,0,7
129,106,15,"F",1,"R1","Monday","yes",10,4,"3",0,7,1,2,0,8,0,6,1,1,0,4,6,0,3
130,106,40,"F",4,"R1","Monday","yes",50,3,"2",40,42,0,8,0,41,18,19,0,4,0,4,0,43,3
131,106,43,"M",1,"R1","Monday","yes",7,3,"2",0,2,1,4,0,1,0,0,0,1,0,3,0,3,1
132,107,59,"F",3,"R1","Monday","yes",29,4,"3",0,0,7,8,21,18,0,0,3,5,10,2,0,20,8
133,107,68,"M",3,"R1","Monday","yes",3,3,"2",0,0,0,3,0,0,0,0,0,0,0,1,0,0,2
134,108,53,"F",2,"R1","Monday","yes",194,4,"3",0,85,192,2,0,1,0,0,0,1,0,1,0,192,2
135,108,54,"M",4,"R1","Monday","yes",8,3,"2",0,0,5,3,0,0,0,0,0,0,0,1,0,6,1
136,109,44,"F",3,"R1","Monday","yes",7,4,"3",0,0,0,7,0,3,0,0,0,3,0,1,0,4,2
137,109,45,"M",4,"R1","Monday","yes",5,2,"1",0,0,1,4,0,1,0,0,0,1,0,1,0,4,0
138,109,50,"F",3,"R1","Monday","yes",19,6,"5",0,0,10,19,0,0,0,0,0,0,0,3,0,10,6
139,110,10,"F",1,"R1","Monday","yes",51,4,"3",0,48,1,2,0,3,0,0,1,2,0,3,40,0,8
140,110,42,"F",1,"R1","Monday","yes",63,2,"1",0,51,1,11,0,3,0,1,1,1,0,8,50,5,0
141,110,49,"M",1,"R1","Monday","yes",43,2,"1",0,21,21,21,0,3,0,1,1,1,0,3,0,40,0
142,111,22,"F",2,"R1","Monday","no",7,2,"1",0,1,4,2,0,5,0,1,3,1,0,3,0,4,0
143,111,25,"M",4,"R1","Monday","yes",6,2,"1",0,1,4,1,0,0,0,0,0,0,0,2,0,4,0
144,111,51,"F",4,"R1","Monday","no",155,2,"1",0,151,151,153,0,0,0,0,0,0,0,1,0,154,0
145,112,44,"M",2,"R1","Monday","yes",24,4,"3",0,0,11,11,2,0,0,0,0,0,0,2,0,20,4
146,112,76,"F",4,"R1","Monday","yes",8,4,"3",0,0,0,7,1,0,0,0,0,0,0,2,0,0,6
147,112,84,"M",1,"R1","Monday","yes",2,1,"0",0,0,0,1,1,0,0,0,0,0,0,2,0,0,0
148,113,62,"F",3,"R1","Monday","no",4,2,"1",0,0,1,3,0,0,0,0,0,0,0,1,0,0,3
149,114,46,"F",3,"R1","Monday","yes",2,2,"1",0,1,0,1,0,0,0,0,0,0,0,2,0,0,2
150,115,26,"F",2,"R1","Monday","yes",15,6,"5",1,2,9,3,0,10,1,1,7,1,0,2,0,13,0
151,115,28,"F",1,"R1","Monday","yes",7,2,"1",0,0,5,2,0,2,0,0,1,1,0,2,0,5,0
152,116,54,"F",4,"R1","Tuesday","yes",53,2,"1",0,0,47,51,1,1,0,0,0,0,1,2,0,50,2
153,117,38,"F",1,"R1","Tuesday","yes",8,3,"2",0,2,3,2,1,4,0,2,1,1,0,4,0,4,2
154,117,67,"F",3,"R1","Tuesday","yes",7,3,"2",0,2,1,1,3,1,0,1,0,0,0,4,0,0,4
155,118,9,"F",1,"R1","Tuesday","yes",10,2,"1",0,6,2,2,0,8,0,6,0,2,0,10,0,0,0
156,118,16,"M",2,"R1","Tuesday","yes",17,2,"1",0,14,1,2,0,3,0,1,0,2,0,3,14,0,0
157,118,50,"M",2,"R1","Tuesday","no",10,4,"3",0,2,6,2,0,3,0,2,0,1,0,3,0,0,8
158,118,50,"F",3,"R1","Tuesday","yes",8,3,"2",0,2,0,6,0,8,0,2,0,6,0,3,0,0,6
159,119,56,"F",4,"R1","Tuesday","yes",5,3,"2",0,0,2,3,0,1,0,0,1,0,0,1,0,0,4
160,120,59,"F",2,"R1","Tuesday","yes",11,7,"6+",0,0,5,6,0,0,0,0,0,0,0,0,0,7,4
161,121,28,"F",3,"R1","Tuesday","no",15,4,"3",0,1,8,5,1,6,0,1,4,1,0,4,0,9,2
162,122,52,"F",4,"R1","Tuesday","yes",15,2,"1",0,0,14,4,0,2,0,0,2,0,0,2,0,13,0
163,123,18,"M",4,"R1","Tuesday","yes",30,2,"1",0,27,1,2,0,6,0,6,0,0,0,3,27,0,0
164,123,22,"F",2,"R1","Tuesday","no",16,5,"4",0,0,16,0,0,0,0,0,0,0,0,1,0,10,5
165,123,50,"M",2,"R1","Tuesday","no",9,3,"2",0,1,7,1,0,1,0,0,0,1,0,3,0,0,6
166,123,50,"F",4,"R1","Tuesday","no",8,3,"2",0,1,5,6,0,2,0,0,0,2,0,3,0,5,0
167,124,40,"F",4,"R1","Tuesday","no",3,2,"1",1,0,0,2,0,2,1,0,0,1,0,3,0,0,1
168,125,20,"F",2,"R1","Tuesday","yes",6,4,"3",0,0,1,5,0,5,0,0,0,5,0,4,0,0,2
169,125,52,"F",4,"R1","Tuesday","no",5,2,"1",0,0,2,3,0,0,0,0,0,0,0,5,0,0,0
170,126,73,"F",4,"R1","Tuesday","yes",0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
171,126,81,"M",1,"R1","Tuesday","yes",3,2,"1",0,0,0,2,1,1,0,0,0,1,0,0,0,0,3
172,127,57,"F",4,"R1","Tuesday","yes",5,2,"1",0,0,3,2,0,1,0,0,1,0,0,4,0,0,1
173,128,68,"F",4,"R1","Tuesday","yes",2,1,"0",0,0,1,0,1,2,0,0,1,0,1,2,0,0,0
174,129,24,"M",3,"R1","Tuesday","yes",4,2,"1",0,0,1,3,0,4,0,0,1,3,0,2,0,2,0
175,129,52,"F",2,"R1","Tuesday","no",3,1,"0",0,0,1,2,0,2,0,0,1,1,0,3,0,0,0
176,130,26,"M",2,"R1","Tuesday","yes",33,2,"1",0,0,31,22,0,9,0,0,5,4,0,3,0,30,0
177,131,57,"M",4,"R1","Tuesday","yes",6,4,"3",0,0,1,5,0,1,0,0,0,1,0,1,0,0,6
178,132,24,"F",4,"R1","Tuesday","yes",4,3,"2",0,0,1,3,0,0,0,0,0,0,0,2,0,2,1
179,132,54,"F",4,"R1","Tuesday","yes",6,4,"3",0,0,3,3,0,1,0,0,1,0,0,3,0,0,3
180,133,10,"F",2,"R1","Tuesday","yes",8,3,"2",0,6,0,2,0,4,0,2,0,2,0,2,6,0,1
181,133,42,"F",4,"R1","Tuesday","yes",10,6,"5",0,2,3,4,1,1,0,1,0,0,0,2,0,0,9
182,134,55,"F",4,"R1","Tuesday","no",12,4,"3",2,0,10,5,0,1,1,0,0,1,0,5,0,0,9
183,135,61,"F",4,"R1","Tuesday","no",1,1,"0",0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
184,135,31,"M",1,"R1","Tuesday","yes",11,2,"1",0,0,10,1,0,0,0,0,0,0,0,11,0,0,0
185,136,NA,"M",1,"R1","Tuesday","yes",18,3,"2",0,15,1,0,2,18,0,15,1,0,2,3,14,0,1
186,136,NA,"M",1,"R1","Tuesday","yes",25,2,"1",20,1,2,0,2,25,20,1,2,0,2,5,20,0,0
187,136,30,"M",1,"R1","Tuesday","yes",6,2,"1",1,0,2,1,2,1,1,0,0,0,0,4,0,2,0
188,136,62,"M",4,"R1","Tuesday","yes",8,2,"1",1,6,0,1,0,7,1,6,0,0,0,8,0,0,0
189,137,NA,"M",1,"R1","Wednesday","yes",1,2,"1",0,0,0,0,1,1,0,0,0,0,1,1,0,0,0
190,138,77,"M",3,"R1","Wednesday","yes",4,4,"3",0,0,1,2,1,0,0,0,0,0,0,1,0,0,4
191,139,16,"M",3,"R1","Wednesday","yes",13,3,"2",0,11,0,2,0,12,0,11,0,1,0,3,10,0,0
192,139,58,"M",4,"R1","Wednesday","no",3,3,"2",0,2,0,1,0,2,0,2,0,0,0,2,1,0,1
193,140,51,"F",4,"R1","Wednesday","no",9,4,"3",0,0,2,7,0,2,0,0,1,1,0,2,0,0,7
194,140,52,"M",4,"R1","Wednesday","yes",11,6,"5",0,0,6,3,2,1,0,0,0,1,0,2,0,7,3
195,141,27,"F",4,"R1","Wednesday","yes",4,3,"2",0,0,3,1,0,2,0,0,1,1,0,2,0,1,1
196,141,29,"M",1,"R1","Wednesday","no",8,2,"1",0,0,7,1,0,2,0,0,1,1,0,2,0,6,0
197,141,58,"F",4,"R1","Wednesday","yes",4,2,"1",0,0,2,2,0,4,0,0,2,2,0,4,0,0,0
198,142,64,"M",2,"R1","Wednesday","yes",3,1,"0",0,2,0,1,0,2,0,2,0,0,0,3,0,0,0
199,143,18,"F",1,"R1","Wednesday","yes",73,3,"2",0,70,72,71,70,73,0,10,50,11,2,1,0,72,0
200,143,49,"F",4,"R1","Wednesday","no",1,1,"0",0,1,0,0,0,1,0,1,0,0,0,1,0,0,0
201,143,53,"M",3,"R1","Wednesday","yes",11,3,"2",0,0,8,11,0,1,0,0,0,1,0,0,0,9,2
202,144,65,"F",2,"R1","Wednesday","yes",1,1,"0",0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
203,145,27,"F",3,"R1","Wednesday","yes",12,4,"3",0,0,11,1,0,2,0,0,2,0,0,12,0,0,0
204,145,61,"F",2,"R1","Wednesday","yes",9,3,"2",0,0,2,6,1,1,0,0,0,1,0,3,0,0,6
205,146,13,"M",1,"R1","Wednesday","yes",9,2,"1",0,7,0,2,0,2,0,1,0,1,0,3,6,0,0
206,146,16,"M",1,"R1","Wednesday","no",10,2,"1",0,8,0,2,0,1,0,1,0,0,0,3,7,0,0
207,146,44,"F",2,"R1","Wednesday","no",21,4,"3",1,15,14,19,0,3,1,1,0,1,0,3,0,18,0
208,147,62,"F",4,"R1","Wednesday","yes",2,2,"1",0,0,1,0,1,0,0,0,0,0,0,2,0,0,0
209,147,63,"M",3,"R1","Wednesday","yes",2,1,"0",0,0,1,1,0,0,0,0,0,0,0,2,0,0,0
210,148,30,"F",2,"R1","Wednesday","yes",4,4,"3",0,0,1,1,2,1,0,0,1,0,0,1,0,0,3
211,148,52,"F",4,"R1","Wednesday","yes",6,3,"2",0,0,1,5,0,0,0,0,0,0,0,1,0,1,4
212,148,65,"M",3,"R1","Wednesday","yes",2,1,"0",0,0,1,1,0,2,0,0,1,1,0,2,0,0,0
213,149,70,"F",4,"R1","Wednesday","yes",13,4,"3",0,0,4,12,0,0,0,0,0,0,0,9,0,0,4
214,150,36,"F",4,"R1","Wednesday","yes",4,3,"2",1,0,1,2,0,2,1,0,0,1,0,2,1,0,1
215,150,43,"M",3,"R1","Wednesday","no",2,1,"0",1,0,1,0,0,2,1,0,1,0,0,2,0,0,0
216,151,25,"F",2,"R1","Wednesday","yes",74,3,"2",0,0,41,73,30,34,0,0,11,18,5,3,0,70,1
217,151,56,"F",4,"R1","Wednesday","no",6,3,"2",0,0,5,3,0,3,0,0,2,1,0,6,0,0,1
218,151,59,"M",2,"R1","Wednesday","yes",10,3,"2",0,0,3,7,0,3,0,0,2,1,0,3,0,5,2
219,152,77,"M",1,"R1","Wednesday","no",3,2,"1",0,0,1,1,1,1,0,0,1,0,0,1,0,0,2
220,153,62,"F",4,"R1","Wednesday","yes",7,4,"3",1,3,2,1,0,4,1,3,0,0,0,3,0,4,0
221,154,63,"M",4,"R1","Thursday","yes",2,1,"0",0,0,1,1,0,0,0,0,0,0,0,2,0,0,0
222,155,47,"F",4,"R1","Thursday","yes",7,2,"1",0,1,0,6,0,1,0,0,0,1,0,2,0,0,5
223,155,59,"M",2,"R1","Thursday","yes",8,4,"3",0,1,2,5,0,0,0,0,0,0,0,2,0,5,1
224,156,37,"F",4,"R1","Thursday","yes",2,1,"0",0,0,1,1,0,0,0,0,0,0,0,0,0,2,0
225,156,62,"F",1,"R1","Thursday","yes",5,2,"1",2,0,2,1,0,2,2,0,0,0,0,3,0,0,2
226,157,26,"F",3,"R1","Thursday","yes",15,3,"2",0,0,8,7,0,7,0,0,2,5,0,2,0,11,2
227,158,27,"F",2,"R1","Thursday","yes",6,2,"1",0,0,4,2,0,1,0,0,0,1,0,0,0,6,0
228,158,54,"F",3,"R1","Thursday","yes",6,5,"4",0,0,3,2,1,3,0,0,1,1,1,1,0,0,5
229,159,52,"F",3,"R1","Thursday","yes",6,3,"2",0,0,2,2,2,3,0,0,2,1,0,2,0,0,4
230,160,46,"F",4,"R1","Thursday","no",8,3,"2",0,1,4,3,0,8,0,1,4,3,0,1,0,5,2
