"pid","hid","age","sex","n.samples","wave","reporting.day","typical.day","n.contact.total","n.locations","n.loc.group","n.contact.0-4","n.contact.5-19","n.contact.20-39","n.contact.40-64","n.contact.65+","n.contact.touch","n.contact.0-4.touch","n.contact.5-19.touch","n.contact.20-39.touch","n.contact.40-64.touch","n.contact.65+.touch","n.contact.home","n.contact.school","n.contact.work","n.contact.other"
1331,587,25,"M",2,"R4","Monday","yes",3,2,"1",0,0,1,1,1,0,0,0,0,0,0,2,0,0,1
655,447,46,"M",4,"R4","Monday","yes",8,3,"2",0,1,4,3,0,3,0,1,0,2,0,3,0,4,1
656,448,30,"F",3,"R4","Monday","yes",35,2,"1",1,0,32,32,0,0,0,0,0,0,0,5,0,30,0
657,448,63,"F",3,"R4","Monday","no",9,3,"2",1,0,5,3,0,2,1,0,1,0,0,6,0,0,3
1300,724,58,"F",2,"R4","Monday","yes",6,2,"1",0,0,5,3,1,1,0,0,1,0,0,2,0,0,4
662,452,60,"F",4,"R4","Monday","yes",6,3,"2",0,0,1,4,1,1,0,0,0,0,1,0,0,0,6
1024,726,45,"M",4,"R4","Monday","yes",22,8,"6+",0,0,14,6,2,0,0,0,0,0,0,1,0,6,19
685,466,36,"F",4,"R4","Monday","yes",6,3,"2",0,0,3,2,1,0,0,0,0,0,0,2,0,3,1
693,473,36,"F",4,"R4","Monday","yes",14,4,"3",0,5,0,8,1,10,0,5,0,5,0,4,0,0,12
713,489,66,"F",4,"R4","Monday","yes",0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1441,600,51,"F",1,"R4","Monday","yes",21,5,"4",0,0,4,17,0,3,0,0,0,3,0,1,0,15,5
745,518,51,"F",3,"R4","Monday","yes",8,4,"3",0,0,1,5,2,8,0,0,1,5,2,2,0,0,8
772,538,NA,"F",4,"R4","Tuesday","no",3,2,"1",0,0,0,2,1,2,0,0,0,1,1,1,0,0,3
70,70,22,"F",2,"R4","Thursday","yes",26,2,"1",0,21,24,21,0,12,0,2,9,1,0,3,0,23,0
1171,761,22,"F",3,"R4","Thursday","yes",14,5,"4",0,0,12,4,0,2,0,0,2,0,0,2,0,2,10
1172,761,50,"F",3,"R4","Thursday","yes",18,2,"1",0,0,16,16,16,1,0,0,0,1,0,2,0,16,0
94,90,54,"F",4,"R4","Thursday","yes",5,3,"2",0,0,2,3,0,0,0,0,0,0,0,0,0,0,5
121,102,24,"F",4,"R4","Thursday","no",6,4,"3",0,0,3,3,0,4,0,0,1,3,0,6,0,0,1
1090,102,51,"M",3,"R4","Thursday","yes",7,3,"2",0,0,3,4,0,0,0,0,0,0,0,2,0,3,2
122,102,52,"F",4,"R4","Thursday","yes",22,2,"1",0,20,21,21,0,9,0,0,8,1,0,2,0,20,0
1338,114,16,"F",2,"R4","Thursday","no",8,2,"1",0,6,0,2,0,1,0,0,0,1,0,2,6,0,0
149,114,47,"F",3,"R4","Thursday","yes",10,3,"2",0,1,7,2,0,1,0,0,0,1,0,2,0,5,3
1185,770,40,"F",3,"R4","Thursday","no",1,1,"0",0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
1193,775,55,"M",3,"R4","Thursday","yes",15,3,"2",0,0,12,15,0,0,0,0,0,0,0,0,0,5,10
1127,620,29,"M",3,"R4","Thursday","no",4,2,"1",0,0,4,0,0,1,0,0,1,0,0,1,0,3,0
338,220,NA,"M",3,"R4","Thursday","yes",22,2,"1",0,0,20,22,0,0,0,0,0,0,0,2,0,20,0
1442,236,29,"F",1,"R4","Thursday","yes",15,2,"1",0,0,13,13,2,6,0,0,3,2,1,2,0,13,0
1114,236,31,"M",3,"R4","Thursday","yes",8,4,"3",0,0,4,2,2,4,0,0,3,0,1,2,0,0,6
362,236,65,"F",4,"R4","Thursday","no",9,4,"3",0,0,7,1,1,3,0,0,2,0,1,3,0,0,6
915,635,34,"M",3,"R4","Thursday","yes",12,3,"2",0,0,11,7,0,0,0,0,0,0,0,1,0,9,2
380,248,21,"M",2,"R4","Thursday","yes",4,2,"1",0,1,1,2,0,0,0,0,0,0,0,3,0,0,1
1150,248,48,"M",2,"R4","Thursday","yes",5,3,"2",0,0,2,3,0,1,0,0,0,1,0,4,0,0,1
381,248,51,"F",3,"R4","Thursday","yes",20,3,"2",0,0,17,18,0,1,0,0,0,1,0,2,0,15,3
1085,249,41,"F",2,"R4","Thursday","no",5,1,"0",0,0,5,5,0,0,0,0,0,0,0,0,0,5,0
384,251,54,"F",4,"R4","Thursday","yes",5,3,"2",0,0,0,3,2,1,0,0,0,0,1,5,0,0,0
387,253,65,"F",4,"R4","Thursday","yes",4,3,"2",0,0,3,0,1,1,0,0,0,0,1,1,0,0,3
388,254,77,"F",3,"R4","Thursday","no",11,2,"1",0,0,1,10,10,0,0,0,0,0,0,0,0,0,11
815,570,44,"M",4,"R4","Thursday","yes",6,2,"1",0,0,6,4,0,0,0,0,0,0,0,0,0,0,6
397,260,33,"F",4,"R4","Friday","no",1,1,"0",0,0,0,1,0,1,0,0,0,1,0,1,0,0,0
1443,573,62,"M",1,"R4","Friday","yes",2,1,"0",1,0,0,1,0,2,1,0,0,1,0,0,1,0,2
421,276,36,"F",3,"R4","Friday","yes",7,3,"2",0,0,3,2,2,0,0,0,0,0,0,2,0,5,0
426,279,26,"F",4,"R4","Friday","yes",6,3,"2",0,0,3,3,0,1,0,0,1,0,0,2,0,2,2
430,282,50,"F",4,"R4","Friday","yes",7,7,"6+",0,0,3,4,0,0,0,0,0,0,0,1,0,0,6
440,288,10,"M",3,"R4","Friday","yes",10,2,"1",0,8,0,2,0,7,0,5,0,2,0,3,7,0,0
441,288,37,"F",4,"R4","Friday","yes",9,2,"1",0,7,0,2,0,6,0,4,0,2,0,3,0,6,0
860,293,20,"F",3,"R4","Friday","no",6,2,"1",0,0,4,0,2,6,0,0,4,0,2,3,0,0,3
449,293,21,"F",3,"R4","Friday","no",4,3,"2",0,0,2,2,0,3,0,0,2,1,0,2,1,0,1
1073,293,49,"F",3,"R4","Friday","yes",8,4,"3",0,0,4,3,1,8,0,0,4,3,1,3,0,2,5
861,293,66,"M",3,"R4","Friday","yes",3,1,"0",0,0,2,1,0,3,0,0,2,1,0,3,0,0,0
462,302,52,"F",4,"R4","Friday","yes",7,3,"2",0,0,2,4,1,3,0,0,1,2,0,2,0,4,1
941,655,63,"F",4,"R4","Friday","no",4,2,"1",0,0,0,0,4,1,0,0,0,0,1,4,0,0,0
1279,308,62,"M",3,"R4","Friday","yes",4,2,"1",0,0,3,1,0,0,0,0,0,0,0,3,0,0,1
475,312,43,"M",4,"R4","Friday","yes",10,2,"1",0,6,8,3,0,2,0,1,1,0,0,4,0,6,0
476,313,53,"F",4,"R4","Friday","no",32,4,"3",0,15,30,32,15,1,0,0,0,1,0,1,0,15,16
1154,314,72,"F",3,"R4","Friday","yes",3,2,"1",0,0,1,2,0,0,0,0,0,0,0,1,0,0,2
1211,791,27,"F",2,"R4","Friday","yes",11,2,"1",0,0,9,2,0,3,0,0,2,1,0,4,0,7,0
1212,791,32,"F",2,"R4","Friday","yes",4,2,"1",0,0,3,1,0,0,0,0,0,0,0,2,0,2,0
480,316,23,"F",4,"R4","Friday","no",10,2,"1",0,0,6,4,0,1,0,0,1,0,0,10,0,0,0
1213,792,23,"M",3,"R4","Friday","no",4,2,"1",0,0,2,1,1,0,0,0,0,0,0,3,0,0,1
1214,792,28,"M",3,"R4","Friday","yes",19,3,"2",0,0,4,14,1,0,0,0,0,0,0,3,0,15,1
1215,792,53,"F",3,"R4","Friday","yes",10,4,"3",0,0,4,5,1,9,0,0,3,5,1,3,0,0,7
1216,792,64,"M",3,"R4","Friday","yes",3,1,"0",0,0,2,1,0,3,0,0,2,1,0,3,0,0,0
483,318,46,"F",4,"R4","Friday","yes",6,2,"1",1,0,1,4,0,3,1,0,0,2,0,1,0,0,5
484,319,72,"M",4,"R4","Friday","yes",8,3,"2",0,0,0,5,6,0,0,0,0,0,0,0,0,3,5
490,323,63,"F",3,"R4","Friday","yes",5,3,"2",0,0,2,2,1,1,0,0,1,0,0,1,0,0,4
1107,323,73,"M",3,"R4","Friday","yes",8,4,"3",0,1,0,7,0,4,0,1,0,3,0,1,0,0,7
1444,793,41,"M",1,"R4","Friday","no",18,5,"4",0,0,13,17,0,1,0,0,0,1,0,1,0,12,5
496,327,59,"F",4,"R4","Friday","yes",3,2,"1",0,0,0,2,3,1,0,0,0,0,1,1,0,2,0
944,657,31,"F",2,"R4","Saturday","yes",2,1,"0",0,0,1,1,0,0,0,0,0,0,0,2,0,0,0
1445,657,33,"M",1,"R4","Saturday","yes",55,3,"2",0,50,51,54,0,55,0,2,41,12,0,0,0,54,1
945,657,55,"F",3,"R4","Saturday","no",5,1,"0",0,3,1,1,0,2,0,2,0,0,0,5,0,0,0
531,350,52,"M",4,"R4","Saturday","no",6,5,"4",0,1,2,3,0,3,0,1,2,0,0,3,0,0,3
561,371,75,"F",4,"R4","Saturday","yes",0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
821,576,34,"M",4,"R4","Saturday","yes",8,2,"1",0,2,6,4,0,3,0,2,1,0,0,3,0,0,6
993,699,60,"F",4,"R4","Saturday","yes",35,3,"2",1,0,31,31,2,2,1,0,0,0,1,3,0,30,2
